stamp;dig
PALFO;dig10
FPAT;dig11
MLPIC;dig7
MLPIC;dig7
QVCVIR;dig12
SCLH;dig6
MLPIG;dig5
MLPIG;dig5
VIRCIN;dig8
VIRCIN;dig8
SCLT;dig7
SCLT;dig7
SCLT;dig2
VIRT;dig9
FCAV;dig5
MAT;dig11
MAT;dig11
SNR;dig8
SNR;dig8
SNR;dig8
SNR;dig8
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig1
SNR;dig1
SNR;dig1
SNR;dig1
SNR;dig1
SNR;dig1
TREBECIANO;dig5
FMFP;dig4
FMFP;dig4
FMFP;dig5
FMFP;dig5
FMFP;dig5
FMFP;dig5
FMFP;dig5
FMFP;dig7
FMFP;dig7
FMFP;dig7
FMFP;dig11
FMFP;dig3
FMFP;dig3
BEL;dig12
FMFA;dig2
FMFA;dig2
LSE;dig11
LFCFP;dig5
LFCFP;dig11
LFCFP;dig11
NCCRESC;dig7
GRA;dig10
GRA;dig11
GRA;dig11
GRA;dig11
FCERARA;dig11
FMFP;dig5
LFCCAE;dig10
LSACV;dig4
LSACV;dig11
LC;dig11
AEMEN;dig5
CORCLE;dig1
CORCLE;dig1
ROMVLVSF;dig7
CTYC;dig10
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig6
PNN;dig7
PNN;dig7
PNN;dig7
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig3
PNN;dig3
PNN;dig3
ARAXIFM;dig3
ARAXIFM;dig3
QFFC;dig10
FIGBAR;dig4
FIGBAR;dig4
FIGBAR;dig4
FIGBAR;dig5
FIGBAR;dig11
SAL;dig8
OFGRAROP;dig11
OFGRAROP;dig11
ASYLLFELIC;dig8
SSCF;dig8
APM;dig11
IIAVRHERACLAEPATETFILFCEPAR;dig11
AKAKOY;dig12
AKAKOY;dig12
LFCCVFCAT;dig10
AFK;dig5
CTYC;dig6
CTYC;dig8
CTYC;dig8
AEMEN;dig11
MFEPAPHRODI;dig12
MFEPAPHRODI;dig12
IVLIA;dig7
CIALB;dig6
CIALB;dig6
CIALB;dig6
CIALB;dig6
CIALB;dig8
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
QPPHRI;dig9
QAF;dig10
QAF;dig10
XIIIIHP;dig5
XIIIIHP;dig5
XIIIIHP;dig11
MMCSVR;dig8
MMCSVR;dig12
MMCSVR;dig12
MMCSVR;dig12
MMCSVR;dig12
PPAC;dig7
PPAA;dig5
LFCRDFN;dig11
GAVFL;dig11
GAVFL;dig3
PMM;dig5
PAS;dig7
PAT;dig11
PAT;dig11
PAT;dig11
PAT;dig11
PAT;dig11
PAT;dig11
PAT;dig11
QIAF;dig10
QIAS;dig11
QIAS;dig11
QIAS;dig11
QIAS;dig11
QIAS;dig11
QIAS;dig11
DOM;dig12
PQFF;dig2
IIIENNIIVL;dig2
IIIENNIIVL;dig2
IIIENNIIVL;dig2
SAXXOFER;dig12
FCAV;dig3
IIIENNIIVL;dig2
LF;dig11
CICVTE;dig1
DOMS;dig8
DOMS;dig8
DOMS;dig8
DOMS;dig12
DOMS;dig12
DOMS;dig12
DOMS;dig1
DOMS;dig1
DOMS;dig1
CALISTI;dig5
CALISTI;dig5
EVHELP;dig4
EVHELP;dig11
VICT;dig5
VICT;dig11
PAT;dig11
SAXFRCAELVARI;dig11
QIAFC;dig7
QIAFC;dig7
LQS;dig10
CNAEC;dig6
LCMY;dig5
LCMY;dig5
LCMY;dig5
LCMY;dig5
LCMY;dig5
LCMY;dig5
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig7
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
LCMY;dig3
QIAFS;dig8
QIAFS;dig12
QIAFS;dig12
QIAFS;dig11
SABCVACMV;dig8
SABCVACMV;dig8
LQA;dig11
C;dig7
C;dig8
C;dig11
LCM;dig5
SLFCL;dig2
LIMFP;dig11
VICTOR;dig4
VICTOR;dig5
DO;dig10
FOIAS;dig11
EROTIS;dig5
EROTIS;dig7
LFCCVCAT;dig4
LFCCVCAT;dig4
CA;dig8
CV;dig5
APFS;dig4
APFS;dig11
APFS;dig11
FIGCEP;dig4
PORTO;dig4
PORTO;dig4
PORTO;dig4
PORTO;dig11
SAXFBRCAELVARI;dig11
SCIMNIANI;dig11
GLPVDE;dig2
QIMFN;dig8
QIMFN;dig8
QIMFN;dig8
QIMFN;dig12
QIMFN;dig12
QIMFN;dig12
QIMFN;dig12
QIMFN;dig12
QIMFN;dig1
TAN;dig10
CIIVIH;dig10
SAXOFERRI;dig6
SAXOFERRI;dig8
SAXOFERRI;dig9
SAXOFERRI;dig10
SAXOFERRO;dig2
SAXOFERRO;dig2
SAXOFERRO;dig2
LFCVFS;dig11
LFCVFS;dig11
LFCDP;dig11
IIIENNIIVL;dig6
IIIENNIIVL;dig6
FTREBECIANI;dig8
HERMO;dig4
CELER;dig4
CELER;dig4
CELER;dig4
CELER;dig11
QPPHRYQPP;dig9
QCCCI;dig8
QCCCI;dig8
QCCCI;dig8
PSDL;dig2
MATDFMARSIANESSES;dig11
MATDFMARSIANESSES;dig11
PARVA;dig11
IVLEGN;dig12
LCQA;dig10
LFBCOL;dig11
FQAR;dig4
FQAR;dig4
FQAR;dig4
FQAR;dig4
FQAR;dig4
CAPF;dig7
CAPF;dig7
CAPF;dig7
CAPF;dig3
CAFFM;dig1
PMOCVFIGEDO;dig4
QMS;dig7
QMS;dig7
QMS;dig12
QMS;dig3
QMS;dig3
QMR;dig12
QMR;dig12
QMR;dig12
QMR;dig2
QMC;dig5
VIAI;dig10
AMICI;dig7
QCV;dig11
LFCCO;dig11
ASVLFVSC;dig8
LFCCV;dig11
QCI;dig6
QCI;dig8
QCI;dig8
QCI;dig8
QCM;dig8
SCL;dig8
FINETOY;dig12
LMRLMP;dig1
