stamp;dig
+FF.;dig6
+R+;dig11
POPVL.;dig11
.ANTONIQVIE+;dig12
YOPHL.;dig8
PALFO;dig10
FPAT;dig11
MLPIC;dig7
MLPIC;dig7
QVCVIR;dig12
SCLH;dig6
MLPIG;dig5
MLPIG;dig5
VIRCIN;dig8
VIRCIN;dig8
SCLT;dig7
SCLT;dig7
SCLT;dig2
+OC+;dig5
VIRT;dig9
FAVSTIN+;dig4
FCAV;dig5
MAT;dig11
MAT;dig11
.CI;dig8
MA+;dig11
SNR;dig8
SNR;dig8
SNR;dig8
SNR;dig8
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig12
SNR;dig1
SNR;dig1
SNR;dig1
SNR;dig1
SNR;dig1
SNR;dig1
+F.;dig8
+CVSF;dig11
CONSF.;dig4
TREBECIANO;dig5
FC+;dig11
+ALI+;dig5
FMFP;dig4
FMFP;dig4
FMFP;dig5
FMFP;dig5
FMFP;dig5
FMFP;dig5
FMFP;dig5
FMFP;dig7
FMFP;dig7
FMFP;dig7
FMFP;dig11
FMFP;dig3
FMFP;dig3
BEL;dig12
S.F+;dig8
FMFA;dig2
FMFA;dig2
+RG;dig6
.CEPS.;dig5
LSE;dig11
LFCFP;dig5
LFCFP;dig11
LFCFP;dig11
+YC+;dig9
NCCRESC;dig7
+A+;dig5
+A+;dig5
+CXII+;dig11
+ELBCAN;dig9
+LF;dig11
GRA;dig10
GRA;dig11
GRA;dig11
GRA;dig11
.FCCVF+;dig5
FCERARA;dig11
+CCIT+;dig11
.F+;dig11
CE+;dig11
+FN+;dig5
+DIAB;dig6
FMFP;dig5
.QR;dig5
.QS;dig6
FIG+PAEF;dig5
I.FT;dig4
+RC+;dig5
IIIVNIMELISSI+;dig11
FPATAVGN+;dig5
PHFCO.;dig12
FCVCV.;dig5
FCVCV.;dig5
LFCCAE;dig10
FIG.E.;dig4
FIG.E.;dig4
+FF;dig3
LSACV;dig4
LSACV;dig11
LC;dig11
+OPVI+;dig11
IIIVNIMELISSIETMELISS.;dig5
AEMEN;dig5
+FERI;dig10
CORCLE;dig1
CORCLE;dig1
HERM.;dig4
+FCVV+;dig11
ROMVLVSF;dig7
P+I+M.;dig5
+V+;dig5
CTYC;dig10
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig4
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig5
PNN;dig6
PNN;dig7
PNN;dig7
PNN;dig7
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig11
PNN;dig3
PNN;dig3
PNN;dig3
IN+PAT+;dig11
+VCVM;dig4
+NAPRI;dig11
ARAXIFM;dig3
ARAXIFM;dig3
QFFC;dig10
+XOFERREO;dig5
FIGBAR;dig4
FIGBAR;dig4
FIGBAR;dig4
FIGBAR;dig5
FIGBAR;dig11
+T+;dig4
+C;dig9
SAL;dig8
QAE+;dig6
+PV.;dig2
OFGRAROP;dig11
OFGRAROP;dig11
SAXOFERR+;dig6
SAXOFERR+;dig6
+CA;dig8
LFCVF.;dig11
LFCVF.;dig11
+C.;dig8
+FRA+;dig7
VICTORIN.;dig5
ASYLLFELIC;dig8
+FCC+;dig5
O+;dig5
.OPV+;dig4
+OCV+ED.;dig4
SSCF;dig8
APM;dig11
AEM+;dig5
IIAVRHERACLAEPATETFILFCEPAR;dig11
FCF+;dig5
+VNICIANI;dig4
+MD;dig11
PCLODII+;dig6
MF+;dig10
+FC+;dig5
+DEFIC.ASMARSI;dig4
III.FIILVP;dig5
+CFV+;dig8
AKAKOY;dig12
AKAKOY;dig12
+FVIFN;dig11
.IRMI;dig5
.CM;dig12
LFCCVFCAT;dig10
CI+B;dig8
AFK;dig5
+CVVVC+;dig11
PM+;dig5
QIA+;dig11
+AL+;dig11
CTYC;dig6
CTYC;dig8
CTYC;dig8
I+ET+;dig5
+AT;dig4
AEMEN;dig11
MFEPAPHRODI;dig12
MFEPAPHRODI;dig12
PCICEL.;dig8
LFECICI.;dig12
+CT+;dig10
LFCCVFC.;dig5
IVLIA;dig7
+PA+RC;dig11
EVH+;dig4
CIALB;dig6
CIALB;dig6
CIALB;dig6
CIALB;dig6
CIALB;dig8
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
CIALB;dig2
+QOTOP+;dig8
QPPHRI;dig9
+LFO;dig10
+III+;dig4
LFCNO.;dig4
FLGVILOP+OCIEX.R+AE;dig10
M+;dig3
QAF;dig10
QAF;dig10
XIIIIHP;dig5
XIIIIHP;dig5
XIIIIHP;dig11
+FN;dig8
MMCSVR;dig8
MMCSVR;dig12
MMCSVR;dig12
MMCSVR;dig12
MMCSVR;dig12
FPA.;dig4
FPA.;dig4
FPA.;dig4
LFF.IN;dig9
PPAC;dig7
PPAA;dig5
QFC+;dig9
QFC+;dig9
DEMOSTEN.;dig11
SVCCE+;dig11
LFCRDFN;dig11
+P;dig5
M+I+;dig11
+CAL;dig3
MLS+;dig7
+QAO+;dig10
+FPC;dig3
SCNO+;dig4
.ALLIS;dig4
.QAR;dig4
+CVFSF;dig5
MLFCT+;dig7
.MFP;dig5
.FCNOV;dig4
+VPBE+;dig12
GAVFL;dig11
GAVFL;dig3
PMM;dig5
AQF+;dig1
.MA.ALLAID+;dig3
+VCC;dig3
PAS;dig7
PAT;dig11
PAT;dig11
PAT;dig11
PAT;dig11
PAT;dig11
PAT;dig11
PAT;dig11
Q+;dig7
QIAF;dig10
FPAEN+;dig5
QIAS;dig11
QIAS;dig11
QIAS;dig11
QIAS;dig11
QIAS;dig11
QIAS;dig11
CAE.IFB;dig12
PN.;dig4
PN.;dig4
PN.;dig5
PN.;dig11
PN.;dig11
PN.;dig11
PN.;dig11
PN.;dig11
PN.;dig11
PN.;dig11
PN.;dig11
DOM;dig12
+MS+;dig11
PQFF;dig2
IIIENNIIVL;dig2
IIIENNIIVL;dig2
IIIENNIIVL;dig2
LFCRES+;dig3
SAXXOFER;dig12
FCAV;dig3
+NPG+;dig4
IIIENNIIVL;dig2
LF;dig11
F+NI+;dig11
CICVTE;dig1
DOMS;dig8
DOMS;dig8
DOMS;dig8
DOMS;dig12
DOMS;dig12
DOMS;dig12
DOMS;dig1
DOMS;dig1
DOMS;dig1
CALISTI;dig5
