stamp;dig
+FF.;dig6
+R+;dig11
POPVL.;dig11
.ANTONIQVIE+;dig12
YOPHL.;dig8
+OC+;dig5
FAVSTIN+;dig4
.CI;dig8
MA+;dig11
+F.;dig8
+CVSF;dig11
CONSF.;dig4
FC+;dig11
+ALI+;dig5
S.F+;dig8
+RG;dig6
.CEPS.;dig5
+YC+;dig9
+A+;dig5
+A+;dig5
+CXII+;dig11
+ELBCAN;dig9
+LF;dig11
.FCCVF+;dig5
+CCIT+;dig11
.F+;dig11
CE+;dig11
+FN+;dig5
+DIAB;dig6
.QR;dig5
.QS;dig6
FIG+PAEF;dig5
I.FT;dig4
+RC+;dig5
IIIVNIMELISSI+;dig11
FPATAVGN+;dig5
PHFCO.;dig12
FCVCV.;dig5
FCVCV.;dig5
FIG.E.;dig4
FIG.E.;dig4
+FF;dig3
+OPVI+;dig11
IIIVNIMELISSIETMELISS.;dig5
+FERI;dig10
HERM.;dig4
+FCVV+;dig11
P+I+M.;dig5
+V+;dig5
IN+PAT+;dig11
+VCVM;dig4
+NAPRI;dig11
+XOFERREO;dig5
+T+;dig4
+C;dig9
QAE+;dig6
+PV.;dig2
SAXOFERR+;dig6
SAXOFERR+;dig6
+CA;dig8
LFCVF.;dig11
LFCVF.;dig11
+C.;dig8
+FRA+;dig7
VICTORIN.;dig5
+FCC+;dig5
O+;dig5
.OPV+;dig4
+OCV+ED.;dig4
AEM+;dig5
FCF+;dig5
+VNICIANI;dig4
+MD;dig11
PCLODII+;dig6
MF+;dig10
+FC+;dig5
+DEFIC.ASMARSI;dig4
III.FIILVP;dig5
+CFV+;dig8
+FVIFN;dig11
.IRMI;dig5
.CM;dig12
CI+B;dig8
+CVVVC+;dig11
PM+;dig5
QIA+;dig11
+AL+;dig11
I+ET+;dig5
+AT;dig4
PCICEL.;dig8
LFECICI.;dig12
+CT+;dig10
LFCCVFC.;dig5
+PA+RC;dig11
EVH+;dig4
+QOTOP+;dig8
+LFO;dig10
+III+;dig4
LFCNO.;dig4
FLGVILOP+OCIEX.R+AE;dig10
M+;dig3
+FN;dig8
FPA.;dig4
FPA.;dig4
FPA.;dig4
LFF.IN;dig9
QFC+;dig9
QFC+;dig9
DEMOSTEN.;dig11
SVCCE+;dig11
+P;dig5
M+I+;dig11
+CAL;dig3
MLS+;dig7
+QAO+;dig10
+FPC;dig3
SCNO+;dig4
.ALLIS;dig4
.QAR;dig4
+CVFSF;dig5
MLFCT+;dig7
.MFP;dig5
.FCNOV;dig4
+VPBE+;dig12
AQF+;dig1
.MA.ALLAID+;dig3
+VCC;dig3
Q+;dig7
FPAEN+;dig5
CAE.IFB;dig12
PN.;dig4
PN.;dig4
PN.;dig5
PN.;dig11
PN.;dig11
PN.;dig11
PN.;dig11
PN.;dig11
PN.;dig11
PN.;dig11
PN.;dig11
+MS+;dig11
LFCRES+;dig3
+NPG+;dig4
F+NI+;dig11
+DFM.;dig5
VICT.;dig11
NICXIII.;dig4
+VI;dig5
TF+;dig4
+QARP;dig1
+FL+;dig7
EVHELPI+;dig4
LFCC+;dig5
LFCC+;dig5
LFCC+;dig11
LFFC+;dig5
Q+;dig6
LCM.;dig11
R+;dig4
C+;dig9
IIIVNIMELISSI+FPATERNI;dig5
PPA.;dig5
PPA.;dig5
+LINAIQE+ECIAN+;dig10
EQFA+;dig1
.SLMF;dig11
IIIF.BEQV;dig5
+NN+RNR;dig11
ASAI+;dig11
MAX+;dig11
C+;dig10
C+;dig10
P.LICELI+;dig9
.MOCV.IGE+;dig4
.CH.;dig6
NICX+;dig4
+FCVFM;dig11
LQ.;dig11
+PCF;dig11
+VLLVS.;dig3
+ASEL;dig11
+VFS;dig11
.FCCVFCAT;dig5
.FCCVFCAT;dig5
.FCCVFCAT;dig5
+DEFIC+;dig4
+ODV;dig11
+ODV;dig11
+DIMARS+;dig5
+IMF;dig10
+CFP;dig5
.FCC+;dig5
LFCROMA+;dig6
+V+FP;dig8
IIIFFIILV.;dig4
+CCVV+;dig11
+RGI;dig4
+MED;dig4
CARI.;dig12
.IAFS;dig12
+VALB;dig8
QCLCV+;dig8
+IAX+;dig11
+D+;dig4
IVLI+;dig5
+VLC+;dig11
FIGLINASECA.;dig11
+NEIKOY;dig8
IIM+;dig4
+C+;dig5
+NES+;dig8
+QCP+;dig11
PMF.;dig5
.PAC;dig11
.PAA;dig5
.PAA;dig5
+IB;dig6
+IB;dig6
+MFN+ACIRC;dig11
+M+;dig5
.FCC+AT;dig4
+IS;dig5
LFCCVFI.;dig11
.VGGGNNN+LEARIFBA+;dig11
+FIA+;dig11
+FIA+;dig11
POP+;dig4
POP+;dig4
POP+;dig11
+CVF.;dig11
QIAF+;dig6
+RS+;dig5
+RS+;dig5
+RS+;dig5
.NN;dig4
.NN;dig4
.NN;dig4
.NN;dig4
.NN;dig5
.NN;dig5
.NN;dig5
.NN;dig11
.NN;dig11
.NN;dig11
+IM+;dig11
AVGGGNNNFIG+LC+;dig11
ARN.;dig10
FP.;dig8
LFC+V+;dig11
QC.;dig8
QC.;dig8
QC.;dig8
QC.;dig8
IIIVNIMELISSI+LISSE;dig5
.IGED+;dig5
SAXOF+;dig10
M+;dig8
IIIVNIMELISSI+M+;dig5
.FCCVF+;dig11
+MFA+;dig4
ALFO.;dig10
.VGGGNNN+GVLBARB.;dig11
CMTC.;dig1
P.NA;dig6
CFSA.;dig12
QNDP+;dig12
+RODV;dig11
.MN;dig6
L+;dig11
CN.;dig11
.ENTI.;dig11
.ORTO;dig4
.ORTO;dig4
KVF+COLLEOPA.;dig11
+FT;dig4
+FT;dig4
CR+;dig9
+M+;dig5
+M+;dig6
+M+;dig11
+COL+;dig11
LFCCV+;dig11
LFCCV+;dig11
CI.LB;dig6
+CRDEP;dig11
+LV+;dig4
.AXOFER;dig10
+F+;dig11
M+M;dig1
B+;dig11
MQF.;dig8
+API;dig11
.OPVLI;dig4
.MFP;dig5
FIGVLGEME+VINIL;dig4
+C+;dig2
.CICELI;dig6
LIT.;dig11
+T;dig4
+T;dig4
II.AVRHERACLA.PATETFILFCEPA+;dig11
CA+;dig4
LC+M.;dig11
TFAM.;dig4
AVG+;dig11
LFCCV+;dig10
+CVFC+;dig4
+CERAR+;dig11
+V;dig9
LACV+;dig11
PSAI.;dig2
+COR;dig9
IISE.;dig8
+IS;dig11
+BELI;dig12
+FIP;dig10
+NI+;dig4
+CV+;dig5
.CM.;dig5
.FRIG.;dig9
LF+;dig5
+D;dig11
ALBM+ARCIAN;dig11
.FCCV;dig11
QQFM.;dig8
+HP;dig5
+DO;dig4
QN+L;dig5
CA.;dig4
CA.;dig4
AR+;dig11
+GG+VL+;dig11
+MINACRETCA.;dig4
+FLAI+CANO+;dig10
QI+;dig2
+ACHR;dig1
+RVFIP;dig9
LFFCXI.;dig5
+CAVF+;dig5
MOXM.;dig11
LFCCV+;dig11
+MELISSI+MELISSE;dig5
PMO+FIGE+;dig4
LALRD.;dig12
FCV+;dig4
Q+;dig2
IVL.I;dig4
.TR;dig5
QI+;dig12
A+;dig3
VIRG.;dig11
PNNS+;dig11
CM+;dig11
+O+;dig4
+CVFS;dig11
FBSAT+;dig5
F.GMED;dig4
F.GMED;dig4
LFCRDVII.;dig11
LFCF+;dig5
FICB+;dig4
PNN.;dig4
PNN.;dig5
PNN.;dig5
PNN.;dig5
PNN.;dig5
PNN.;dig11
+ABXIII+;dig11
F.AT.;dig11
CA+;dig8
MD+;dig9
+SPM+;dig12
+ASY;dig4
+VLI;dig10
+ED+F;dig2
+LI.;dig11
+ASS+;dig8
LFCC+N;dig4
+CEPA+EOPAR;dig6
+ER;dig12
+ER;dig11
+M;dig12
.FCRDEP;dig11
QF+;dig9
BVR.;dig4
BVR.;dig11
FTAV+;dig8
+C;dig7
+EF+;dig10
PIV+;dig10
D+;dig10
.NN;dig11
