stamp;cout;dig
+FF.;1;dig6
+R+;1;dig11
POPVL.;1;dig11
.ANTONIQVIE+;1;dig12
YOPHL.;1;dig8
PALFO;1;dig10
FPAT;1;dig11
MLPIC;2;dig7
QVCVIR;1;dig12
SCLH;1;dig6
MLPIG;2;dig5
VIRCIN;2;dig8
SCLT;2;dig7
SCLT;1;dig2
+OC+;1;dig5
VIRT;1;dig9
FAVSTIN+;1;dig4
FCAV;1;dig5
MAT;2;dig11
.CI;1;dig8
MA+;1;dig11
SNR;4;dig8
SNR;29;dig12
SNR;6;dig1
+F.;1;dig8
+CVSF;1;dig11
CONSF.;1;dig4
TREBECIANO;1;dig5
FC+;1;dig11
+ALI+;1;dig5
FMFP;2;dig4
FMFP;5;dig5
FMFP;3;dig7
FMFP;1;dig11
FMFP;2;dig3
BEL;1;dig12
S.F+;1;dig8
FMFA;2;dig2
+RG;1;dig6
.CEPS.;1;dig5
LSE;1;dig11
LFCFP;1;dig5
LFCFP;2;dig11
+YC+;1;dig9
NCCRESC;1;dig7
+A+;2;dig5
+CXII+;1;dig11
+ELBCAN;1;dig9
+LF;1;dig11
GRA;1;dig10
GRA;3;dig11
.FCCVF+;1;dig5
FCERARA;1;dig11
+CCIT+;1;dig11
.F+;1;dig11
CE+;1;dig11
+FN+;1;dig5
+DIAB;1;dig6
FMFP;1;dig5
.QR;1;dig5
.QS;1;dig6
FIG+PAEF;1;dig5
I.FT;1;dig4
+RC+;1;dig5
IIIVNIMELISSI+;1;dig11
FPATAVGN+;1;dig5
PHFCO.;1;dig12
FCVCV.;2;dig5
LFCCAE;1;dig10
FIG.E.;2;dig4
+FF;1;dig3
LSACV;1;dig4
LSACV;1;dig11
LC;1;dig11
+OPVI+;1;dig11
IIIVNIMELISSIETMELISS.;1;dig5
AEMEN;1;dig5
+FERI;1;dig10
CORCLE;2;dig1
HERM.;1;dig4
+FCVV+;1;dig11
ROMVLVSF;1;dig7
P+I+M.;1;dig5
+V+;1;dig5
CTYC;1;dig10
PNN;24;dig4
PNN;9;dig5
PNN;1;dig6
PNN;3;dig7
PNN;51;dig11
PNN;3;dig3
IN+PAT+;1;dig11
+VCVM;1;dig4
+NAPRI;1;dig11
ARAXIFM;2;dig3
QFFC;1;dig10
+XOFERREO;1;dig5
FIGBAR;3;dig4
FIGBAR;1;dig5
FIGBAR;1;dig11
+T+;1;dig4
+C;1;dig9
SAL;1;dig8
QAE+;1;dig6
+PV.;1;dig2
OFGRAROP;2;dig11
SAXOFERR+;2;dig6
+CA;1;dig8
LFCVF.;2;dig11
+C.;1;dig8
+FRA+;1;dig7
VICTORIN.;1;dig5
ASYLLFELIC;1;dig8
+FCC+;1;dig5
O+;1;dig5
.OPV+;1;dig4
+OCV+ED.;1;dig4
SSCF;1;dig8
APM;1;dig11
AEM+;1;dig5
IIAVRHERACLAEPATETFILFCEPAR;1;dig11
FCF+;1;dig5
+VNICIANI;1;dig4
+MD;1;dig11
PCLODII+;1;dig6
MF+;1;dig10
+FC+;1;dig5
+DEFIC.ASMARSI;1;dig4
III.FIILVP;1;dig5
+CFV+;1;dig8
AKAKOY;2;dig12
+FVIFN;1;dig11
.IRMI;1;dig5
.CM;1;dig12
LFCCVFCAT;1;dig10
CI+B;1;dig8
AFK;1;dig5
+CVVVC+;1;dig11
PM+;1;dig5
QIA+;1;dig11
+AL+;1;dig11
CTYC;1;dig6
CTYC;2;dig8
I+ET+;1;dig5
+AT;1;dig4
AEMEN;1;dig11
MFEPAPHRODI;2;dig12
PCICEL.;1;dig8
LFECICI.;1;dig12
+CT+;1;dig10
LFCCVFC.;1;dig5
IVLIA;1;dig7
+PA+RC;1;dig11
EVH+;1;dig4
CIALB;4;dig6
CIALB;1;dig8
CIALB;10;dig2
+QOTOP+;1;dig8
QPPHRI;1;dig9
+LFO;1;dig10
+III+;1;dig4
LFCNO.;1;dig4
FLGVILOP+OCIEX.R+AE;1;dig10
M+;1;dig3
QAF;2;dig10
XIIIIHP;2;dig5
XIIIIHP;1;dig11
+FN;1;dig8
MMCSVR;1;dig8
MMCSVR;4;dig12
FPA.;3;dig4
LFF.IN;1;dig9
PPAC;1;dig7
PPAA;1;dig5
QFC+;2;dig9
DEMOSTEN.;1;dig11
SVCCE+;1;dig11
LFCRDFN;1;dig11
+P;1;dig5
M+I+;1;dig11
+CAL;1;dig3
MLS+;1;dig7
+QAO+;1;dig10
+FPC;1;dig3
SCNO+;1;dig4
.ALLIS;1;dig4
.QAR;1;dig4
+CVFSF;1;dig5
MLFCT+;1;dig7
.MFP;1;dig5
.FCNOV;1;dig4
+VPBE+;1;dig12
GAVFL;1;dig11
GAVFL;1;dig3
PMM;1;dig5
AQF+;1;dig1
.MA.ALLAID+;1;dig3
+VCC;1;dig3
PAS;1;dig7
PAT;7;dig11
Q+;1;dig7
QIAF;1;dig10
FPAEN+;1;dig5
QIAS;6;dig11
CAE.IFB;1;dig12
PN.;2;dig4
PN.;1;dig5
PN.;8;dig11
DOM;1;dig12
+MS+;1;dig11
PQFF;1;dig2
IIIENNIIVL;3;dig2
LFCRES+;1;dig3
SAXXOFER;1;dig12
FCAV;1;dig3
+NPG+;1;dig4
IIIENNIIVL;1;dig2
LF;1;dig11
F+NI+;1;dig11
CICVTE;1;dig1
DOMS;3;dig8
DOMS;3;dig12
DOMS;3;dig1
CALISTI;2;dig5
+DFM.;1;dig5
VICT.;1;dig11
EVHELP;1;dig4
EVHELP;1;dig11
VICT;1;dig5
VICT;1;dig11
NICXIII.;1;dig4
PAT;1;dig11
+VI;1;dig5
TF+;1;dig4
+QARP;1;dig1
+FL+;1;dig7
EVHELPI+;1;dig4
LFCC+;2;dig5
LFCC+;1;dig11
LFFC+;1;dig5
SAXFRCAELVARI;1;dig11
QIAFC;2;dig7
LQS;1;dig10
CNAEC;1;dig6
LCMY;6;dig5
LCMY;17;dig7
LCMY;18;dig3
QIAFS;1;dig8
QIAFS;2;dig12
QIAFS;1;dig11
SABCVACMV;2;dig8
LQA;1;dig11
Q+;1;dig6
C;1;dig7
C;1;dig8
C;1;dig11
LCM;1;dig5
SLFCL;1;dig2
LCM.;1;dig11
R+;1;dig4
C+;1;dig9
LIMFP;1;dig11
IIIVNIMELISSI+FPATERNI;1;dig5
VICTOR;1;dig4
VICTOR;1;dig5
PPA.;2;dig5
+LINAIQE+ECIAN+;1;dig10
EQFA+;1;dig1
.SLMF;1;dig11
IIIF.BEQV;1;dig5
+NN+RNR;1;dig11
DO;1;dig10
ASAI+;1;dig11
MAX+;1;dig11
C+;2;dig10
FOIAS;1;dig11
P.LICELI+;1;dig9
.MOCV.IGE+;1;dig4
.CH.;1;dig6
EROTIS;1;dig5
EROTIS;1;dig7
LFCCVCAT;2;dig4
NICX+;1;dig4
CA;1;dig8
+FCVFM;1;dig11
CV;1;dig5
APFS;1;dig4
APFS;2;dig11
LQ.;1;dig11
+PCF;1;dig11
FIGCEP;1;dig4
PORTO;3;dig4
PORTO;1;dig11
+VLLVS.;1;dig3
+ASEL;1;dig11
SAXFBRCAELVARI;1;dig11
SCIMNIANI;1;dig11
+VFS;1;dig11
.FCCVFCAT;3;dig5
GLPVDE;1;dig2
QIMFN;3;dig8
QIMFN;5;dig12
QIMFN;1;dig1
+DEFIC+;1;dig4
+ODV;2;dig11
+DIMARS+;1;dig5
TAN;1;dig10
+IMF;1;dig10
+CFP;1;dig5
CIIVIH;1;dig10
.FCC+;1;dig5
LFCROMA+;1;dig6
SAXOFERRI;1;dig6
SAXOFERRI;1;dig8
SAXOFERRI;1;dig9
SAXOFERRI;1;dig10
+V+FP;1;dig8
SAXOFERRO;3;dig2
IIIFFIILV.;1;dig4
LFCVFS;2;dig11
LFCDP;1;dig11
+CCVV+;1;dig11
+RGI;1;dig4
+MED;1;dig4
CARI.;1;dig12
IIIENNIIVL;2;dig6
FTREBECIANI;1;dig8
HERMO;1;dig4
.IAFS;1;dig12
+VALB;1;dig8
QCLCV+;1;dig8
CELER;3;dig4
CELER;1;dig11
+IAX+;1;dig11
+D+;1;dig4
QPPHRYQPP;1;dig9
IVLI+;1;dig5
+VLC+;1;dig11
QCCCI;3;dig8
FIGLINASECA.;1;dig11
+NEIKOY;1;dig8
IIM+;1;dig4
+C+;1;dig5
+NES+;1;dig8
PSDL;1;dig2
+QCP+;1;dig11
PMF.;1;dig5
MATDFMARSIANESSES;2;dig11
.PAC;1;dig11
.PAA;2;dig5
PARVA;1;dig11
IVLEGN;1;dig12
+IB;2;dig6
+MFN+ACIRC;1;dig11
+M+;1;dig5
LCQA;1;dig10
.FCC+AT;1;dig4
+IS;1;dig5
LFCCVFI.;1;dig11
.VGGGNNN+LEARIFBA+;1;dig11
LFBCOL;1;dig11
FQAR;5;dig4
+FIA+;2;dig11
POP+;2;dig4
POP+;1;dig11
+CVF.;1;dig11
CAPF;3;dig7
CAPF;1;dig3
QIAF+;1;dig6
+RS+;3;dig5
.NN;4;dig4
.NN;3;dig5
.NN;3;dig11
+IM+;1;dig11
AVGGGNNNFIG+LC+;1;dig11
ARN.;1;dig10
FP.;1;dig8
LFC+V+;1;dig11
CAFFM;1;dig1
QC.;4;dig8
IIIVNIMELISSI+LISSE;1;dig5
PMOCVFIGEDO;1;dig4
QMS;2;dig7
QMS;1;dig12
QMS;2;dig3
QMR;3;dig12
QMR;1;dig2
.IGED+;1;dig5
QMC;1;dig5
SAXOF+;1;dig10
M+;1;dig8
IIIVNIMELISSI+M+;1;dig5
.FCCVF+;1;dig11
+MFA+;1;dig4
ALFO.;1;dig10
.VGGGNNN+GVLBARB.;1;dig11
CMTC.;1;dig1
P.NA;1;dig6
CFSA.;1;dig12
QNDP+;1;dig12
+RODV;1;dig11
.MN;1;dig6
VIAI;1;dig10
L+;1;dig11
AMICI;1;dig7
CN.;1;dig11
QCV;1;dig11
LFCCO;1;dig11
ASVLFVSC;1;dig8
LFCCV;1;dig11
QCI;1;dig6
QCI;3;dig8
.ENTI.;1;dig11
QCM;1;dig8
.ORTO;2;dig4
KVF+COLLEOPA.;1;dig11
SCL;1;dig8
+FT;2;dig4
FINETOY;1;dig12
CR+;1;dig9
+M+;1;dig5
+M+;1;dig6
+M+;1;dig11
+COL+;1;dig11
LMRLMP;1;dig1
LIVNIMELISSIP;1;dig5
LFCCV+;2;dig11
FVNBELRPI;1;dig1
FIRMI;1;dig4
FIRMI;1;dig3
SCA;1;dig1
CI.LB;1;dig6
+CRDEP;1;dig11
IIMINACRETCAL;3;dig4
IIMINACRETCAL;1;dig5
ISVIRG;1;dig5
ISVIRG;3;dig7
ISVIRG;3;dig3
CALLISTVSF;5;dig7
+LV+;1;dig4
.AXOFER;1;dig10
+F+;1;dig11
LIDIFITAL;1;dig10
MATDEFICNASMARSI;8;dig4
M+M;1;dig1
B+;1;dig11
MQF.;1;dig8
LFCCVFCAT;1;dig4
+API;1;dig11
CMA;5;dig6
.OPVLI;1;dig4
.MFP;1;dig5
